,genre,id
0,thrash metal,1IQ2e1buppatiN1bxUVkrk
1,crust punk,20ml1U2ibB2HPnPpWrJIKT
2,thrash metal,6KVc8Llznru8n9LVCYe9dz
3,thrash metal,1EzRkEPmjf1ZEjTnWVXiQ2
4,thrash metal,5IuVILIHmUS552Bj0K3vQx
5,thrash metal,4nLzJeIvsP58MnoN7e9KT3
6,nwobhm,3N1B1g6JtIgd6ClRkzD4yT
7,thrash metal,2J1GmSL3D47TR4TdFYs2hu
8,thrash metal,4jcj3BdKlh7LFhByepe02p
9,nwobhm,1EH9eSje47IiRyVsq3gfkl
10,thrash metal,1VhsM93s5cZmM6dd9DRbga
11,thrash metal,4rlxS0LeVnHz6z1zp2iJbz
12,thrash metal,4wz92afc1nTCup8twv4bTA
13,thrash metal,4UKKKGkjNWx8KTUvea66k1
14,thrash metal,0yL1k21OjFpQtWsHz9fxTN
15,thrash metal,0W8edGiwAsv6HXF0Kyc2V9
16,thrash metal,0lFiKrJUofJpnrAJnMsnQ3
17,thrash metal,3WPKDlucMsXH6FC1XaclZC
18,thrash metal,5Qb7CFfWNE9rlymfrFp5A2
19,thrash metal,4LfucwWOrS5NHbgxwtYbH3
20,thrash metal,5lYOBorQmZgCCPxJYCjSmO
21,nwobhm,2B73nUiRlcSwjTyVaIAwhR
22,thrash metal,1FQv3rI4iJPitbZiTxBGut
23,thrash metal,1XHuz5CPN06XuVMdYWwkop
24,thrash metal,2Ah9OuOj7B57gPD1cbwiaE
25,thrash metal,42RvW31Dl6ScQWWLC0G6XP
26,thrash metal,7lfdXL6PuTM5iWJNvI7PPV
27,thrash metal,7h0muodpQ1q5o3RajwownN
28,thrash metal,1jH2JkQvdH6R63yORA8GTd
29,thrash metal,6S60so6J8oI24gpopV9fgX
30,power metal,7954VFaZClkL503srfV5PE
31,thrash metal,5h0HlqYN5TvocKVL1NSJ80
32,thrash metal,09mNj9XgCqgg6usfeXOoBg
33,thrash metal,1XolQApHVLzp4L8AeOZ7nx
34,thrash metal,2iu7W76DMacXn6hzAqmJJU
35,thrash metal,6aFUy7oTyxAgz6JksX3IC9
36,nwobhm,31SU1GkApYNa5jdS0S5XIr
37,thrash metal,03sDKsD3y34NBAjeRHucde
38,thrash metal,4AqUiufKqVihh6uAMonwCv
39,thrash metal,4ug41UGuMZzlV2hJOrOqHN
40,thrash metal,6N62Sla6F2uuEzNALo6720
41,thrash metal,0YtH9hfWvKI1HxccKiiJQJ
42,thrash metal,4jvgoG685KIVaPYwqVF60B
43,thrash metal,3BM0EaYmkKWuPmmHFUTQHv
44,hard rock,4UjiBRkTw9VmvDZiJZKPJ7
45,thrash metal,3Pxc8FkiGcuuVhE2WcHb7g
46,nwobhm,3z3KnhKZObj216IgfHYGVf
47,thrash metal,76S65NHJHrNy4JTrXHP2BH
48,thrash metal,05ULeY6CRFuLxYja5b6xJq
49,thrash metal,7jcSmabVYrhiPf8mY1P0OV
50,thrash metal,1VZpDV00MljTrkukEHFKqZ
51,thrash metal,6IOGoBdcGoq9EZGcpthG8Z
52,thrash metal,7I6gRyC8ImT4lrkP5HiGu3
53,thrash metal,0k5Pf4FqTD86vXJgpEeXy4
54,nwobhm,1qt7m48wpniTuMJ2YsVBI5
55,thrash metal,28hJdGN1Awf7u3ifk2lVkg
56,thrash metal,0gkEIIAvH47TcNDG1WK8LS
57,thrash metal,1dwrMJAKBiLlj0O4R791Xo
58,thrash metal,0A97olVepqtH6CCUoSaGEl
59,thrash metal,2jw4wgixxa20jls9N3Bdpq
60,thrash metal,72M83rfnDyqavWqiFGuYUR
61,thrash metal,6SYbLA9utoNsllunR1TnkM
62,thrash metal,0lFI9B2QSbFVqS6gAZzg1a
63,thrash metal,1P2DRfEZ7OPvTKXxUxxuRc
64,thrash metal,0WVXlaglIOtQueNbucPjZ0
65,thrash metal,1ApBh0VSoxRjjT3kFQZrpz
66,thrash metal,0cBWwOJCsZ9RQW9kBBw5df
67,thrash metal,1e4phaOS2Rq5q2CZVauEg5
68,thrash metal,71lhIVHJ24x9hEcwFSWuOf
69,thrash metal,1gni4GCDSre0p0Oc4zrmEV
70,thrash metal,5dyW3uE9IuoChIbcIjMaae
71,thrash metal,3KEixcRfBS5K3E91Vn1Kdy
72,thrash metal,08f6MNQouECEKggLSLEBRQ
73,thrash metal,33KovvwxUEsaRLbflYJ8gL
74,thrash metal,6G6wOU3VXbozhyhTuVtQ08
75,nu metal,6SER9tY2pDIDVWVf5Ql97B
76,thrash metal,5sGl7Zs6tkBa0Q7nohRCz8
77,thrash metal,6nQ7NZbr43lnKpLYBvLf7A
78,thrash metal,3csFpGsY4rQQucEXwU0vaS
79,thrash metal,160vd9V7P2OiPVOndsKCJO
80,thrash metal,5qF6qgroDoDIKpPChRqhX3
81,thrash metal,0exvkfkATkqWOJgugTjJhP
82,thrash metal,4XqiDTxnoF69TkqNrNS1Rd
83,thrash metal,3bPSw3qkTeBZXnfDFUqmPG
84,thrash metal,5QCQHF5hJbsMFtE4dY0Ifq
85,nwobhm,0kq4QvLGV5t1ZoE6ittrLQ
86,thrash metal,1Yox196W7bzVNZI7RBaPnf
87,thrash metal,6JW8wliOEwaDZ231ZY7cf4
88,thrash metal,2Kl4Ty2DWTZMsSSinkEFmK
89,thrash metal,0UeVJTdCWGEFSSO9Tg9tiH
90,nwobhm,3CSQtK60sg2jNNxnpThSN1
91,glam metal,3BVkDHWRvLJEyKdvhLbjsq
92,thrash metal,0lKpKsvjBKLUeyVIAPHUy1
93,thrash metal,3dnH7fdVm2X07MK6Fkbhbt
94,thrash metal,3JysSUOyfVs1UQ0UaESheP
95,thrash metal,2JR4c1UoM1JGxm4wIJ27v1
96,thrash metal,61yHPBZg8uI6toLJ54PJET
97,thrash metal,7a6NJqMhOHFRgKb61tNm2P
98,thrash metal,0maNhqGx60ucjS4UaAH6cP
99,thrash metal,0RFQyVQGVcECxnuSLvEKxV
100,thrash metal,649XQpykrdULMHdaewXeYp
101,thrash metal,78Xog8iTNxF8t9o4SAWhOG
102,thrash metal,0j61zPo0HzQ86JU6ivMVAx
103,thrash metal,3bnPBquC93vbHmamojAf59
104,thrash metal,2ye2Wgw4gimLv2eAKyk1NB
105,thrash metal,1bCQy78PGFkaaHafPbsEnm
106,thrash metal,0NmYchKQ8JIR9QHYJA0FRe
107,thrash metal,5fwaejlOHVBAw1KhIPPaQe
108,thrash metal,5Vy1NbrZXTMTAGFa4Im6hN
109,thrash metal,3jxlXqh6SD2hMUgYEHUNwG
110,thrash metal,50aVB5l90oifKXt0LDzanR
111,thrash metal,5v4Rmw4m3h9jJUeXd4hD2m
112,thrash metal,5kuYamMO00pHPdRQcAXWTl
113,thrash metal,5MhPZVXE28sD9rXE3GU1uN
114,thrash metal,5d6KI8frPEo3qGsIL8Sak2
115,thrash metal,3VD3oXiELCSHXzR4XXnlaF
116,thrash metal,0L8QRAAuWjqvTM8FpQ1gYO
117,technical death metal,0ZCbQOOfTwQacCamoOxx0D
118,death metal,7yFcBZceMVuvIoTnZXprFd
119,death metal,6bPweC1Ugh3y4m5emo7A36
120,death metal,17MbhJOaaPHuWnRaWU9xkc
121,death metal,7DLdKCkMkrgltlWkg0dseU
122,death metal,5PBErxkQsE0lzNQPrn5oK3
123,death metal,2eIvR1DzWm5GAufWC2rcGr
124,thrash metal,4jcj3BdKlh7LFhByepe02p
125,death metal,1MK0sGeyTNkbefYGj673e9
126,death metal,76AHlOU3rj6ffoOfVPigLt
127,death metal,51a9tNe7LES2DTlofRA5ur
128,death metal,3TK5LJPqg2AnBdrp9Xrzmu
129,death metal,4pgJF9EuXkOOmozAwW7eK3
130,death metal,2kIYZ2eHRnAbaPYE860qNx
131,thrash metal,0W8edGiwAsv6HXF0Kyc2V9
132,death metal,2h7HrMDoZpWxx3uAuJxyj9
133,death metal,34PPy9Ut9m8qB8BnmCiVmO
134,death metal,1NrkyGnaWUYV1hLP74pp6X
135,thrash metal,5Qb7CFfWNE9rlymfrFp5A2
136,death metal,0ZEpcKtaM4ItvzHJCg5udc
137,black metal,7vrrJ5YlL3I8XUrh1ktGJV
138,goregrind,2LkGWKBS0nNlEtqx4khGf1
139,death metal,0NtgD00OKXwbO5l6WtTX8e
140,death metal,4aFjkvXJvZCBDIbHESP4qi
141,death metal,5WQdsYRdeVnsyXeCCSoKLC
142,death metal,3pzAW9xs16rX8fukH8wV6N
143,death metal,6JcFn4PlXFuXmhRXpOpsan
144,death metal,5ATaBoi3yPQE7k3PD7TuDB
145,death metal,7nlPGS5nncGJ7gvgYR2zxR
146,thrash metal,7lfdXL6PuTM5iWJNvI7PPV
147,slam death metal,2Pq0WuEVUvv1G7s7S4XNVs
148,slam death metal,4QGOIwBOrKa9axQxMz3yav
149,death metal,2EAy7g3Ga8hS10hAHMf6C4
150,death metal,3IkWr3wRsPZ4lqcGVKKlqG
151,melodic death metal,1Mcy1ngqEXUXXEQEpUDGix
152,death metal,2K3GorTixXKAiwe2t9lO89
153,death metal,3tS2n2PiBzG8Mr8nCfLIJy
154,death metal,6hR8mUd2yyHFazoCuweiIJ
155,technical death metal,5NIvyOvy39ljx9w71rnCS1
156,death metal,2O8ZayBAqBqoXujSAAx7pm
157,melodic death metal,7lElOfiXTMsnCCr5wfw059
158,death metal,2f5Ll8LPKVR2WOjSruXzqF
159,death metal,10tKMKG6F95zDrJOxqtjhA
160,death metal,4ItRDIouodpnW6nm4TYDk1
161,thrash metal,76S65NHJHrNy4JTrXHP2BH
162,death metal,2s5DSt9VBNzAn2TbtDHzFZ
163,technical death metal,5aUuW2hmOUCnB3osL0N3tD
164,death metal,6rJPCPv9Nf0AeCFYCDNTZd
165,death metal,2nEopdTfDVIY9e2UipMKNj
166,death metal,7eYmDBinb760MUIfoRdlGQ
167,technical death metal,3Bv5btxNbwbt79fcjw9DAg
168,technical death metal,0dUwIwaPc6UukkCZTaaf7J
169,death metal,38shFuJO9k0kOEQSf854u4
170,goregrind,629IF7GEeID925sFE29cSn
171,death metal,213mmq3zkNWx7CtfzftTC5
172,doom metal,0gIo6kGl4KsCeIbqtZVHYp
173,death metal,4adOagDPZJzEU6jqL4NxQT
174,death metal,28imYdYhi5ieRXvgYwiIdi
175,death metal,5OLgWkV7opwcxN7zOhKb6g
176,death metal,0SbGI4sb8dAKFZnK7RFyhz
177,death metal,3rt16vhD1OuULlsyxUUWIt
178,death metal,4f5V3PQ66nIrBCqugJtaGn
179,thrash metal,71lhIVHJ24x9hEcwFSWuOf
180,death metal,2pnezMcaiTHfGmgmGQjLsB
181,death metal,6u1oqIGVTj3TPVVcwn9Qt5
182,death metal,3thZAdDkh3yDo21gLptJTc
183,thrash metal,08f6MNQouECEKggLSLEBRQ
184,goregrind,7A3kNjGDMpJ0JOGu8W3f9r
185,death metal,0VKUUAay11ccEIPryHf4tf
186,industrial metal,1WXagRGw8AveVrRxDfUjli
187,death metal,4pFAF1L1tYnJHLe5hgyKuI
188,death metal,0yLwGBQiBqhXOvmTfH2A7n
189,death metal,5WOBHV40DFyglQzLVjoH2s
190,death metal,5lhaM01nwvsMZpmPY2HVER
191,death metal,1shYFELmbMiLx0KpwTvBbW
192,death metal,61VlyZc5xhwKzFCoTnCw3d
